D,L,M,M*L,variant,method,iteration,test_loss_diff,test_loss_diff_std,train_loss_diff,train_loss_diff_std
10,4,4,16,stochastic_depth,dropout,18,0.019473279,0.003579043,0.059575666,0.036185253
10,4,4,16,stochastic_depth,dropout,19,0.022028577,0.004670823,0.06571095,0.059461802
10,4,4,16,stochastic_depth,dropout,20,0.02392981,0.004412282,0.08140914,0.0552153
10,4,4,16,stochastic_depth,dropout,21,0.027717387,0.0055010268,0.03448067,0.042837955
10,4,4,16,stochastic_depth,dropout,22,0.031284712,0.0062281853,0.05140964,0.04170995
10,4,4,16,stochastic_depth,dropout,23,0.036304068,0.008040178,0.0368424,0.032009277
10,4,4,16,stochastic_depth,dropout,24,0.041703593,0.010625422,0.098388776,0.037821062
10,4,4,16,stochastic_depth,dropout,25,0.047260016,0.010825772,0.047195874,0.03347043
10,4,4,16,stochastic_depth,dropout,26,0.052986026,0.010743473,0.055689067,0.05180834
10,4,4,16,stochastic_depth,dropout,27,0.059278607,0.009138391,0.10599406,0.098847836
10,4,4,16,stochastic_depth,dropout,28,0.06412234,0.009385813,0.09109925,0.10751648
10,4,4,16,stochastic_depth,dropout,29,0.07036207,0.009052315,0.09162953,0.071225315
10,4,4,16,stochastic_depth,dropout,30,0.07512324,0.009106069,0.06006617,0.019362882
10,4,4,16,stochastic_depth,dropout,31,0.07970746,0.005530437,0.14401686,0.08638904
10,4,4,16,stochastic_depth,dropout,32,0.083887145,0.0060952217,0.05170787,0.008516237
10,4,4,16,stochastic_depth,dropout,33,0.08873556,0.004315154,0.254942,0.070120044
10,4,4,16,stochastic_depth,dropout,34,0.088219896,0.010641432,0.12286661,0.081843585
10,4,4,16,stochastic_depth,dropout,35,0.09097136,0.008543704,0.05351267,0.03496956
10,4,4,16,stochastic_depth,dropout,36,0.090885244,0.011952052,0.10905771,0.07884516
10,4,4,16,stochastic_depth,dropout,37,0.092747726,0.012752927,0.12195923,0.079002716
10,4,4,16,stochastic_depth,dropout,38,0.088078044,0.012512746,0.07835644,0.0633018
10,4,4,16,stochastic_depth,dropout,39,0.08495428,0.013785761,0.13920532,0.08837712
10,4,4,16,stochastic_depth,dropout,40,0.08516943,0.014873323,0.20093803,0.10792721
